step,U_vs_SHE_V,U_cumavg_V
50,-0.5357200700366963,-0.5357200700366963
100,-0.9560272291281343,-0.7458736495824153
150,-0.6483859517239171,-0.7133777502962492
200,-1.092682703998069,-0.8082039887217042
250,-1.0605420284607558,-0.8586715966695145
300,-1.09900545057697,-0.8987272389874237
350,-1.1240713739449562,-0.9309192582670711
400,-1.092298010238896,-0.9510916022635492
450,-0.8560321893982884,-0.9405294452785201
500,-1.6202931028840948,-1.0085058110390777
550,-0.7154584386297852,-0.9818651408200509
600,-0.7240693911826529,-0.9603821616836011
650,-1.0394770804302547,-0.9664663862025744
700,-1.2536847879541626,-0.9869819863276879
750,-1.530650769034255,-1.023226571841459
800,-1.457286236346548,-1.050355300873027
850,-1.024650267196915,-1.04884324006855
900,-1.3082264360849138,-1.0632534176250146
950,-0.9887811994603734,-1.0593338271952966
1000,-0.9264103491721677,-1.0526876532941403
1050,-1.1630718217030407,-1.0579440422659927
1100,-1.4021642503978566,-1.0735904153628957
1150,-1.5467034391392773,-1.094160546831434
1200,-1.068265578197391,-1.0930815898050155
1250,-0.9159266796549627,-1.0859953933990134
1300,-1.1248817135222038,-1.087491021096059
1350,-1.8088903308834152,-1.1142095140511463
1400,-1.0341493194596993,-1.1113502213871662
1450,-1.4201858570422314,-1.1219997260649273
1500,-1.0861036186975856,-1.1208031891526824
1550,-0.9333695192286718,-1.1147569417357788
1600,-1.57092077015974,-1.1290120613740275
1650,-1.2175650712964186,-1.1316954859171304
1700,-1.178207486796412,-1.1330634859429916
1750,-1.0357853126323833,-1.1302841095626885
1800,-0.6179286065536832,-1.1160520122568827
1850,-1.0663338966736338,-1.1147082794032814
1900,-1.242801412972741,-1.1180791513393198
1950,-0.6155303216440146,-1.105193283911235
