step,center_source,z_center_ang,z_iface_lower_ang,z_iface_upper_ang,z_iface_mid_ang,water_gap_ang,n_metal_layers,Lz_ang
0,interface,13.442196905529636,2.929862258759089,23.954531552300185,13.442196905529636,21.024669293541095,4,26.42192397582897
50,interface,13.443791421721373,2.950830374765626,23.93675246867712,13.443791421721373,20.985922093911494,4,26.42192397582897
100,interface,13.44376208664171,2.968022068234811,23.91950210504861,13.44376208664171,20.9514800368138,4,26.42192397582897
150,interface,13.432168541474079,2.9556434728316154,23.90869361011654,13.432168541474079,20.953050137284926,4,26.42192397582897
200,interface,13.426346238232286,2.9355674043648743,23.917125072099697,13.426346238232286,20.981557667734823,4,26.42192397582897
250,interface,13.433439733824601,2.916199827070994,23.95067964057821,13.433439733824601,21.034479813507215,4,26.42192397582897
300,interface,13.447128967710826,2.927212269402036,23.96704566601962,13.447128967710826,21.03983339661758,4,26.42192397582897
350,interface,13.434800702910639,2.93779993812086,23.93180146770042,13.434800702910639,20.99400152957956,4,26.42192397582897
400,interface,13.429215057731577,2.9408314457735396,23.917598669689614,13.429215057731577,20.976767223916074,4,26.42192397582897
450,interface,13.441398212655438,2.9687633662742314,23.914033059036644,13.441398212655438,20.945269692762412,4,26.42192397582897
500,interface,13.431664589237084,2.942915812341545,23.920413366132625,13.431664589237084,20.97749755379108,4,26.42192397582897
550,interface,13.421551574445667,2.902491357960962,23.940611790930372,13.421551574445667,21.03812043296941,4,26.42192397582897
600,interface,13.442595759563254,2.937101270546615,23.948090248579895,13.442595759563254,21.01098897803328,4,26.42192397582897
650,interface,13.44890314032355,2.951127654439657,23.94667862620744,13.44890314032355,20.995550971767784,4,26.42192397582897
700,interface,13.432467251593296,2.9439807809640173,23.920953722222578,13.432467251593296,20.97697294125856,4,26.42192397582897
750,interface,13.435404200779951,2.955184450972356,23.91562395058755,13.435404200779951,20.96043949961519,4,26.42192397582897
800,interface,13.441167880846566,2.9357876458130714,23.94654811588006,13.441167880846566,21.010760470066987,4,26.42192397582897
850,interface,13.435971000432653,2.9354717273766773,23.936470273488627,13.435971000432653,21.00099854611195,4,26.42192397582897
900,interface,13.428353996793698,2.9205729962085445,23.93613499737885,13.428353996793698,21.015562001170306,4,26.42192397582897
950,interface,13.420312092338804,2.904154544903441,23.936469639774167,13.420312092338804,21.032315094870725,4,26.42192397582897
1000,interface,13.411128123940578,2.920329676576446,23.90192657130471,13.411128123940578,20.981596894728263,4,26.42192397582897
1050,interface,13.403171494387623,2.9219229213609825,23.884420067414265,13.403171494387623,20.96249714605328,4,26.42192397582897
1100,interface,13.39404891669482,2.9234289859870035,23.864668847402637,13.39404891669482,20.94123986141563,4,26.42192397582897
1150,interface,13.38675185461821,2.913296392470943,23.860207316765475,13.38675185461821,20.94691092429453,4,26.42192397582897
1200,interface,13.380866435115896,2.88089751539634,23.880835354835455,13.380866435115896,20.999937839439113,4,26.42192397582897
1250,interface,13.382727734176825,2.881710983667756,23.88374448468589,13.382727734176825,21.002033501018136,4,26.42192397582897
1300,interface,13.37765820040643,2.8742749214759677,23.881041479336893,13.37765820040643,21.006766557860924,4,26.42192397582897
1350,interface,13.35966178711889,2.8390186308332996,23.880304943404482,13.35966178711889,21.04128631257118,4,26.42192397582897
1400,interface,13.355474172928936,2.8401945042537,23.87075384160417,13.355474172928936,21.03055933735047,4,26.42192397582897
1450,interface,13.363653326822726,2.8576735146289436,23.869633139016507,13.363653326822726,21.011959624387565,4,26.42192397582897
1500,interface,13.351835793748135,2.864412840679455,23.839258746816817,13.351835793748135,20.97484590613736,4,26.42192397582897
1550,interface,13.344452728998396,2.872814496804311,23.81609096119248,13.344452728998396,20.94327646438817,4,26.42192397582897
1600,interface,13.353491139061438,2.8707474389211725,23.8362348392017,13.353491139061438,20.96548740028053,4,26.42192397582897
1650,interface,13.34278424159461,2.8446075815047536,23.840960901684465,13.34278424159461,20.99635332017971,4,26.42192397582897
1700,interface,13.335583711970296,2.840024468298026,23.831142955642566,13.335583711970296,20.99111848734454,4,26.42192397582897
1750,interface,13.34001065025585,2.8434608452898256,23.836560455221875,13.34001065025585,20.99309960993205,4,26.42192397582897
1800,interface,13.328207972923037,2.8320837726974712,23.824332173148605,13.328207972923037,20.992248400451132,4,26.42192397582897
1850,interface,13.324622412064164,2.836668290349225,23.8125765337791,13.324622412064164,20.975908243429878,4,26.42192397582897
1900,interface,13.31777568772834,2.8211787336948317,23.814372641761846,13.31777568772834,20.993193908067013,4,26.42192397582897
1950,interface,13.319372563027972,2.807076072664017,23.831669053391927,13.319372563027972,21.02459298072791,4,26.42192397582897
