surface_distance_A,bin_width_A,rho_num_per_A3,rho_g_cm3,rho_cos_g_cm3,cos_theta_mean,theta_mean_deg,samples_density_equiv_per_frame,samples_orient_equiv_per_frame
0.100000,0.200000,0.00000000e+00,0.000000,0.000000,,,0.000000,0.000000
0.300000,0.200000,0.00000000e+00,0.000000,0.000000,,,0.000000,0.000000
0.500000,0.200000,0.00000000e+00,0.000000,0.000000,,,0.000000,0.000000
0.700000,0.200000,0.00000000e+00,0.000000,0.000000,,,0.000000,0.000000
0.900000,0.200000,0.00000000e+00,0.000000,0.000000,,,0.000000,0.000000
1.100000,0.200000,0.00000000e+00,0.000000,0.000000,,,0.000000,0.000000
1.300000,0.200000,3.55274974e-06,0.000106,0.000077,0.722029,42.903441,0.000074,0.000074
1.500000,0.200000,3.11970843e-04,0.009333,0.006724,0.720462,43.032696,0.006522,0.006522
1.700000,0.200000,5.16231659e-03,0.154431,0.110245,0.713881,43.575264,0.107921,0.107921
1.900000,0.200000,2.25209410e-02,0.673716,0.467262,0.693560,45.241083,0.470814,0.470814
2.100000,0.200000,3.79798131e-02,1.136169,0.748421,0.658723,47.870334,0.793992,0.793992
2.300000,0.200000,3.16164764e-02,0.945809,0.404829,0.428024,62.740841,0.660962,0.660962
2.500000,0.200000,4.48285001e-02,1.341048,-0.306036,-0.228206,104.002924,0.937168,0.937168
2.700000,0.200000,9.10686109e-02,2.724324,-1.157757,-0.424970,116.323564,1.903846,1.903846
2.900000,0.200000,1.10897472e-01,3.317506,-1.536872,-0.463261,118.995247,2.318381,2.318381
3.100000,0.200000,8.25939328e-02,2.470804,-1.186560,-0.480232,120.523172,1.726678,1.726678
3.300000,0.200000,4.65872773e-02,1.393662,-0.634263,-0.455106,118.888196,0.973936,0.973936
3.500000,0.200000,3.50321107e-02,1.047988,-0.461925,-0.440774,117.605285,0.732368,0.732368
3.700000,0.200000,3.16552635e-02,0.946970,-0.352427,-0.372163,113.087433,0.661773,0.661773
3.900000,0.200000,2.99248813e-02,0.895205,-0.209716,-0.234266,104.541768,0.625598,0.625598
4.100000,0.200000,2.23864122e-02,0.669691,-0.027206,-0.040624,92.844788,0.468002,0.468002
4.300000,0.200000,1.54413976e-02,0.461931,0.079612,0.172345,79.930524,0.322812,0.322812
4.500000,0.200000,9.75286950e-03,0.291758,0.071591,0.245378,75.441913,0.203890,0.203890
4.700000,0.200000,8.13659098e-03,0.243407,-0.001301,-0.005346,90.896736,0.170101,0.170101
